Timestamp,X-Axis-plate,Y-Axis-plate,Z-Axis-plate,X-Axis-extrusion,Y-Axis-extrusion,Z-Axis-extrusion,Tension
1575294123736,-0.913,-0.8,7.718,-0.24,0.319,-10.135,97.1
1575294123741,1.171,-0.71,13.653,1.5,0.309,-5.814,0.0
1575294123747,-0.217,-0.236,9.64,-0.595,0.588,-12.327,0.0
1575294123751,-0.197,-0.166,9.668,1.403,-0.92,-4.57,0.0
1575294123757,-0.17,-0.152,9.612,0.208,0.187,-8.374,0.0
1575294123761,-0.128,-0.184,9.655,0.386,0.347,-9.212,0.0
1575294123767,-0.147,-0.166,9.564,1.18,-0.95,-9.589,0.0
1575294123771,-0.276,-0.228,9.66,-0.6,0.786,-9.679,0.0
1575294123776,-0.181,-0.174,9.559,0.13,0.267,-9.734,0.0
1575294123782,-0.242,-0.214,9.623,0.465,0.49,-9.845,0.0
1575294123785,-0.206,-0.213,9.692,-0.239,0.472,-10.29,0.0
1575294123792,-0.15,-0.168,9.593,0.312,-0.23,-9.384,0.0
1575294123796,-0.208,-0.228,9.685,0.405,0.591,-9.942,0.0
1575294123801,-0.172,-0.7,9.628,0.472,0.349,-9.467,0.0
1575294123806,-0.275,-0.236,9.531,0.738,-1.94,-10.33,0.0
1575294123812,-0.49,-0.91,9.547,0.182,0.299,-8.708,0.0
1575294123817,-0.428,-0.181,9.481,2.684,4.727,-10.25,0.0
1575294123820,0.113,-0.443,9.559,7.329,0.796,-9.159,0.0
1575294123826,-0.11,0.54,9.672,1.72,-2.997,-9.579,0.0
1575294123831,-0.448,-0.264,9.481,-3.275,1.5,-9.931,0.0
1575294123836,-0.347,-0.311,9.786,-4.232,2.393,-10.91,0.0
1575294123842,-0.142,-0.192,9.469,-2.711,0.871,-9.38,0.0
1575294123847,0.77,-0.415,9.719,0.75,-0.617,-10.444,0.0
1575294123852,-0.8,-0.413,9.609,0.66,0.743,-9.339,0.0
1575294123856,-0.388,-0.156,9.487,-1.208,0.32,-10.344,0.0
1575294123862,-0.255,-0.59,9.668,1.985,-0.16,-10.118,0.0
1575294123866,-0.236,-0.24,9.54,0.396,1.308,-9.597,0.0
1575294123872,-0.152,-0.326,9.533,-1.114,0.178,-9.66,0.0
1575294123876,-0.108,-0.133,9.601,1.77,-0.653,-10.89,0.0
1575294123882,-0.18,-0.35,9.663,0.234,1.159,-9.664,0.0
1575294123886,-0.179,-0.254,9.59,-0.912,0.406,-9.266,0.0
1575294123891,-0.261,-0.243,9.644,0.476,-0.17,-10.187,0.0
1575294123896,-0.13,-0.292,9.65,1.31,0.63,-9.587,0.0
1575294123901,-0.296,-0.56,9.661,-0.242,1.53,-10.4,0.0
1575294123907,-0.19,-0.81,9.515,0.144,0.417,-9.903,0.0
1575294123911,-0.115,-0.127,9.603,0.921,-0.446,-9.85,0.0
1575294123917,-0.223,-0.186,9.575,-0.7,0.726,-9.979,0.0
1575294123921,-0.176,-0.224,9.477,-0.32,0.4,-9.421,0.0
1575294123927,-0.214,-0.343,9.481,0.31,0.36,-9.788,0.0
1575294123932,-0.204,-0.183,9.513,0.72,0.215,-9.698,0.0
1575294123936,-0.238,-0.165,9.559,0.472,0.545,-9.728,0.0
1575294123941,-0.259,-0.1,9.577,0.252,0.676,-10.91,0.0
1575294123947,-0.243,-0.123,9.609,0.411,-0.263,-9.46,0.0
1575294123952,-0.264,-0.92,9.619,0.247,0.693,-10.183,0.0
1575294123956,-0.208,-0.233,9.582,0.433,0.88,-9.427,0.0
1575294123962,-0.234,-0.321,9.568,0.143,-0.2,-10.174,320.1
1575294123965,-0.251,-0.19,9.557,-0.274,0.536,-9.676,319.2
1575294123972,-0.24,-0.205,9.527,0.51,0.207,-9.802,325.5
1575294123976,-0.169,-0.15,9.485,0.422,0.468,-9.94,316.7
1575294123982,-0.156,-0.85,9.515,0.334,0.244,-9.44,319.4
1575294123985,-0.18,-0.146,9.468,0.109,0.775,-9.813,321.0
1575294123991,-0.146,-0.224,9.612,0.347,0.156,-9.653,323.8
1575294123996,-0.175,-0.303,9.606,0.447,-0.235,-9.816,323.7
1575294124001,-0.178,-0.266,9.625,-0.325,0.737,-9.948,319.6
1575294124007,-0.183,-0.224,9.696,0.441,-0.12,-9.465,319.3
1575294124012,-0.136,-0.18,9.592,0.295,0.553,-9.914,317.5
1575294124017,-0.86,-0.163,9.664,0.172,0.185,-9.503,316.4
1575294124021,-0.149,-0.205,9.63,0.259,0.558,-9.984,317.8
1575294124026,-0.147,-0.171,9.61,0.9,0.56,-9.715,315.0
1575294124031,-0.184,-0.228,9.525,0.37,-0.117,-9.838,317.5
1575294124036,-0.155,-0.242,9.58,-0.36,0.592,-9.807,318.9
1575294124042,-0.174,-0.267,9.632,0.279,0.257,-9.483,323.1
1575294124046,-0.188,-0.206,9.544,0.48,0.511,-9.778,315.3
1575294124051,-0.66,-0.143,9.618,0.172,0.196,-9.558,320.0
1575294124056,-0.192,-0.164,9.551,2.682,0.383,-8.669,318.3
1575294124061,0.106,-0.468,9.657,7.269,1.705,-9.494,313.6
