Timestamp,X-Axis-plate,Y-Axis-plate,Z-Axis-plate,X-Axis-extrusion,Y-Axis-extrusion,Z-Axis-extrusion,Tension
1572437369538,1.304,-0.691,12.868,0.25,0.206,-9.789,236.4
1572437369543,-0.96,-0.256,9.435,1.649,0.132,-4.716,232.4
1572437369548,-0.183,-0.311,9.585,-2.381,1.165,-14.846,228.2
1572437369553,-0.73,-0.22,9.695,2.509,-0.625,-1.203,232.2
1572437369558,-0.197,-0.193,9.595,0.521,0.557,-9.549,229.3
1572437369562,-0.198,-0.165,9.619,0.181,1.206,-10.171,229.5
1572437369568,-0.79,-0.174,9.581,0.235,-0.435,-9.784,221.8
1572437369572,-0.213,-0.169,9.607,0.173,0.202,-10.106,226.1
1572437369578,-0.172,-0.196,9.589,0.254,0.794,-9.547,227.7
1572437369583,-0.144,-0.129,9.482,0.519,0.3,-9.858,227.4
1572437369588,-0.172,-0.174,9.479,0.6,0.393,-9.959,225.9
1572437369593,-0.174,-0.157,9.48,0.26,0.415,-9.676,228.5
1572437369598,-0.201,-0.199,9.51,0.43,0.754,-9.955,226.8
1572437369603,-0.179,-0.14,9.501,0.255,0.145,-9.759,223.5
1572437369608,-0.165,-0.248,9.525,0.313,0.302,-10.232,229.6
1572437369613,-0.217,-0.179,9.554,0.148,0.686,-10.67,227.1
1572437369618,-0.19,-0.187,9.603,0.397,-0.114,-9.984,225.6
1572437369623,-0.246,-0.188,9.568,0.313,0.523,-10.235,227.1
1572437369628,-0.207,-0.138,9.526,0.231,0.399,-9.553,233.5
1572437369633,-0.202,-0.134,9.471,0.41,0.214,-9.896,228.0
1572437369638,-0.155,-0.155,9.431,0.93,0.556,-9.883,229.2
1572437369643,-0.136,-0.205,9.444,0.572,0.261,-9.482,227.0
1572437369648,-0.171,-0.181,9.455,0.13,0.607,-10.199,227.9
1572437369653,-0.118,-0.221,9.51,0.57,-0.15,-9.9,230.8
1572437369658,-0.23,-0.264,9.466,0.425,0.546,-10.173,226.5
1572437369663,-0.201,-0.208,9.498,-0.21,0.594,-9.851,227.6
1572437369668,-0.219,-0.291,9.561,0.548,-0.115,-10.565,223.8
1572437369673,-0.218,-0.178,9.5,-0.31,0.544,-10.637,228.3
