Label,Group,X-Axis-plate_mean,X-Axis-plate_std,X-Axis-plate_max,X-Axis-plate_min,X-Axis-plate_ptp,Y-Axis-plate_mean,Y-Axis-plate_std,Y-Axis-plate_max,Y-Axis-plate_min,Y-Axis-plate_ptp,Z-Axis-plate_mean,Z-Axis-plate_std,Z-Axis-plate_max,Z-Axis-plate_min,Z-Axis-plate_ptp,X-Axis-extrusion_mean,X-Axis-extrusion_std,X-Axis-extrusion_max,X-Axis-extrusion_min,X-Axis-extrusion_ptp,Y-Axis-extrusion_mean,Y-Axis-extrusion_std,Y-Axis-extrusion_max,Y-Axis-extrusion_min,Y-Axis-extrusion_ptp,Z-Axis-extrusion_mean,Z-Axis-extrusion_std,Z-Axis-extrusion_max,Z-Axis-extrusion_min,Z-Axis-extrusion_ptp,Tension_mean,Tension_std,Tension_max,Tension_min,Tension_ptp
0,0,-0.25866836734693877,0.26240555389255954,0.99,-0.99,1.98,-0.2288561224489796,0.26597740565630473,0.99,-0.99,1.98,9.637586734693876,0.12245207153834371,11.921,9.179,2.741999999999999,0.2554989795918367,1.1509400722882832,6.314,-6.931,13.245000000000001,0.3259744897959184,1.153714500796982,8.411,-6.792,15.203,-9.90614081632653,0.5506276312845438,-6.608,-12.711,6.103000000000001,344.98938775510203,46.500318515835296,379.3,214.7,164.60000000000002
0,0,-0.2511704081632653,0.2724731152096997,0.99,-0.99,1.98,-0.23630204081632653,0.2559727277324165,0.88,-0.99,1.87,9.66995306122449,0.08589270621202261,10.144,9.247,0.8970000000000002,0.25481122448979593,0.9095393328698195,6.467,-5.837,12.303999999999998,0.31886836734693874,1.1339713067399808,8.411,-6.194,14.605,-9.879810204081632,0.5312983391673639,-5.669,-12.151,6.482,344.3019387755102,47.255233446443626,381.3,224.0,157.3
0,0,-0.25186836734693874,0.27116790118306466,0.97,-0.99,1.96,-0.24309183673469387,0.2460728939095783,0.92,-0.99,1.9100000000000001,9.677163265306124,0.08035645001321005,10.2,9.278,0.9219999999999988,0.2753387755102041,1.120516710949403,6.467,-6.78,13.247,0.33705816326530613,1.2273725187074456,7.499,-6.406,13.905,-9.901836734693877,0.5514648950634092,-6.793,-12.57,5.777,342.94704081632653,47.936054146765144,380.3,222.7,157.60000000000002
0,0,-0.24382142857142858,0.26571067537869847,0.94,-0.99,1.93,-0.2289081632653061,0.26076078985383866,0.95,-0.99,1.94,9.680171428571429,0.08507609558986781,10.49,9.327,1.1630000000000003,0.2730540816326531,0.9594825817211053,6.277,-5.944,12.221,0.34641122448979594,1.2124015606059426,7.689,-7.964,15.653,-9.896593877551021,0.4811875576911786,-7.943,-12.883,4.9399999999999995,348.97122448979593,39.80393822852991,379.6,220.5,159.10000000000002
0,0,-0.2586081632653061,0.26851101815779665,0.9,-0.99,1.8900000000000001,-0.22953877551020407,0.23435463168970863,0.95,-0.99,1.94,9.67543163265306,0.08578058399901457,10.49,9.312,1.1780000000000008,0.255365306122449,1.0668595288539813,7.183,-6.854,14.036999999999999,0.3312183673469388,1.0901405962822595,7.646,-6.47,14.116,-9.88120306122449,0.5470384780993391,-6.515,-12.883,6.367999999999999,344.0825510204082,48.00702958328772,381.1,220.5,160.60000000000002
0,0,-0.2349469387755102,0.26783722448001795,0.96,-0.99,1.95,-0.2359387755102041,0.2543471521416787,0.95,-0.99,1.94,9.675834693877551,0.0902971015671982,10.874,9.193,1.681000000000001,0.2587367346938776,1.1223657294711822,7.95,-5.336,13.286000000000001,0.3270948979591837,1.3637169600458985,7.479,-6.22,13.699,-9.857727551020409,0.6880788488989948,0.284,-14.978,15.262,346.4236734693877,49.81638582544607,385.1,221.7,163.40000000000003
0,0,-0.23745714285714287,0.2821020028287641,0.98,-0.99,1.97,-0.22967142857142858,0.26575943203259167,0.98,-0.99,1.97,9.667605102040817,0.12354086399248626,10.85,8.623,2.2270000000000003,0.23359795918367346,1.3231146330687802,7.95,-8.48,16.43,0.35846836734693877,1.2525370596250114,8.135,-7.755,15.89,-9.886940816326529,0.624857375210084,-6.404,-13.19,6.786,332.75581632653063,60.793930591651915,387.5,222.9,164.6
0,0,-0.24956122448979595,0.27195531094192854,0.93,-0.99,1.92,-0.2424,0.25695790014899245,0.98,-0.99,1.97,9.676328571428572,0.11562026250636528,10.633,8.623,2.01,0.2676908163265306,1.228299575120903,6.61,-6.708,13.318000000000001,0.3281520408163265,1.3630987171140159,8.135,-7.567,15.702,-9.883886734693878,0.6160700897936187,-6.638,-13.44,6.802,333.82744897959185,58.58310207384323,387.2,222.8,164.39999999999998
0,0,-0.23652857142857142,0.23857269075799561,0.91,-0.99,1.9,-0.24116326530612242,0.26600884954887755,0.97,-0.99,1.96,9.675885714285712,0.09716921491156864,10.283,8.397,1.8859999999999992,0.2529887755102041,1.1377905149879126,9.69,-5.661,15.350999999999999,0.32809387755102043,1.1212537504149802,6.652,-6.471,13.123000000000001,-9.85704081632653,0.6140054662783889,-6.922,-12.911,5.989,334.2208163265306,52.274871976408875,380.6,219.8,160.8
0,0,-0.23323061224489797,0.24920789182649244,0.93,-0.99,1.92,-0.22443673469387757,0.24968657715990175,0.98,-0.99,1.97,9.670540816326533,0.10403664664065049,10.9,9.246,1.654,0.2728265306122449,1.255182637539988,7.792,-7.69,15.482,0.3358244897959184,1.322030743032362,7.46,-7.41,14.870000000000001,-9.848066326530612,0.7277429075424524,0.762,-15.131,15.893,321.16153061224486,56.74653940454802,372.7,220.2,152.5
0,0,-0.24873061224489795,0.26505959068464374,0.93,-0.99,1.92,-0.2363561224489796,0.27201106803949177,0.98,-0.99,1.97,9.664275510204082,0.12300417120953165,10.9,9.218,1.6820000000000004,0.25125306122448976,1.2928158427660745,6.805,-7.69,14.495000000000001,0.3397265306122449,1.3265245463817357,7.777,-7.41,15.187000000000001,-9.851830612244898,0.580954571515649,-7.191,-11.967,4.776000000000001,331.20183673469387,56.032682670372395,382.3,218.7,163.60000000000002
0,0,-0.2424295918367347,0.2532769762045962,0.91,-0.99,1.9,-0.2463928571428571,0.2508432101361896,0.98,-0.99,1.97,9.674054081632653,0.1117160948596361,10.47,8.549,1.9210000000000012,0.2908816326530613,1.082388929245138,6.56,-5.781,12.341,0.35110408163265305,1.1627485511703064,7.935,-7.777,15.712,-9.865830612244897,0.5610679811493913,-7.146,-12.555,5.409,337.514387755102,54.90059111919835,382.3,223.1,159.20000000000002
0,0,-0.2257061224489796,0.27444758497988486,0.99,-0.99,1.98,-0.2340612244897959,0.249972395060691,0.99,-0.99,1.98,9.671282653061224,0.11902606773780494,10.955,8.768,2.1869999999999994,0.2678326530612245,1.1985560072884567,9.89,-6.262,16.152,0.3391948979591836,1.3145840607702164,7.182,-6.3,13.482,-9.842288775510204,0.7374699227879521,-0.733,-13.773,13.04,326.61806122448974,58.77283204029791,382.7,222.1,160.6
0,0,-0.2523989795918367,0.26606003043463167,0.99,-0.99,1.98,-0.2518479591836735,0.2637577048800474,0.99,-0.99,1.98,9.666914285714284,0.12199306102715644,10.955,9.233,1.7219999999999995,0.2613285714285714,1.276067236489056,7.329,-8.46,15.789000000000001,0.36274387755102044,1.3083509837372345,7.182,-8.608,15.790000000000001,-9.847716326530612,0.7254084557631156,-0.733,-13.773,13.04,330.58295918367344,50.47153577905365,375.0,225.7,149.3
0,0,-0.23904999999999998,0.28448036507331204,0.99,-0.99,1.98,-0.2381030612244898,0.26222755072260395,0.91,-1.26,2.17,9.671654081632655,0.12347675867271488,10.9,9.248,1.652000000000001,0.2517632653061225,1.2010833549713933,8.441,-6.572,15.013000000000002,0.3421693877551021,1.1759963469511638,7.551,-5.75,13.301,-9.857141836734694,0.5812551788531136,-5.308,-12.258,6.949999999999999,325.6288775510205,51.892207082402706,371.1,221.2,149.90000000000003
0,0,-0.24966836734693879,0.2714640526046094,0.97,-0.99,1.96,-0.22188265306122448,0.2480154321751832,0.96,-1.28,2.24,9.675326530612244,0.11695332886609645,10.6,8.79,1.8100000000000005,0.28000816326530614,1.231200858103415,7.422,-5.965,13.387,0.32383571428571434,1.3072967975512504,7.956,-7.63,15.586,-9.869839795918368,0.6033803145003066,-6.926,-12.258,5.331999999999999,321.2273469387755,58.025117952223326,375.7,223.9,151.79999999999998
0,0,-0.24317551020408165,0.27777002639506515,0.99,-0.99,1.98,-0.23245,0.2615349794180191,0.91,-1.28,2.19,9.676742857142855,0.12737859846512198,11.336,8.885,2.4510000000000005,0.2429561224489796,1.1697466807195276,7.422,-5.613,13.035,0.3211387755102041,1.3312663739058304,8.211,-6.71,14.921,-9.853864285714286,0.7533486420506723,-0.191,-14.537,14.346,339.65816326530614,52.88128468651072,385.1,226.1,159.00000000000003
0,0,-0.25372142857142854,0.27450014488305163,0.95,-0.99,1.94,-0.22786836734693874,0.2697773874795544,0.99,-0.99,1.98,9.67772857142857,0.0985383163846347,10.34,9.234,1.1059999999999999,0.27880204081632654,1.2071252778077204,7.444,-7.305,14.748999999999999,0.3365602040816326,1.12898901381468,6.985,-7.186,14.171,-9.827618367346938,0.5598684532716262,-7.369,-11.997,4.628,333.27908163265306,57.01683318550356,385.1,223.1,162.00000000000003
0,0,-0.2381877551020408,0.28406501385239336,0.91,-0.99,1.9,-0.23117551020408164,0.2790876239628506,0.99,-1.34,2.33,9.674032653061223,0.12307950373600002,10.78,8.872,1.9079999999999995,0.26345714285714283,1.2683505137438489,7.0,-6.525,13.525,0.3264438775510204,1.369925721177666,8.148,-6.858,15.006,-9.851098979591836,0.6082909056671209,-6.877,-12.206,5.329,316.1578571428571,57.004895685746654,375.5,218.0,157.5
